time,value
2012-01-01 14:05,0.229428421
2012-01-01 14:10,0.232265897
2012-01-01 14:15,0.233076567
2012-01-01 14:20,0.231455226
2012-01-01 14:25,0.232671206
2012-01-01 14:30,0.230644504
2012-01-01 14:35,0.23429265
2012-01-01 14:40,0.235914042
2012-01-01 14:45,0.239562187
2012-01-01 14:50,0.265909979
2012-01-01 14:55,0.428050235
2012-01-01 15:00,0.431293072
2012-01-01 15:05,0.257802966
2012-01-01 15:10,0.232265948
2012-01-01 15:15,0.229428421
2012-01-01 15:20,0.230239143
2012-01-01 15:25,0.236724764
2012-01-01 15:30,0.245642447
2012-01-01 15:35,0.229833834
2012-01-01 15:40,0.2286177
2012-01-01 15:45,0.2286177
2012-01-01 15:50,0.22740172
2012-01-01 15:55,0.22902306
2012-01-01 16:00,0.231860536
2012-01-01 16:05,0.24118358
2012-01-01 16:10,0.241994302
2012-01-01 16:15,0.241588941
2012-01-01 16:20,0.243210385
2012-01-01 16:25,0.246453169
2012-01-01 16:30,0.243210333
2012-01-01 16:35,0.243615745
2012-01-01 16:40,0.243210385
2012-01-01 16:45,0.237130125
2012-01-01 16:50,0.233076567
2012-01-01 16:55,0.230239143
2012-01-01 17:00,0.22821239
2012-01-01 17:05,0.222537543
2012-01-01 17:10,0.219700068
2012-01-01 17:15,0.213619808
2012-01-01 17:20,0.213214447
2012-01-01 17:25,0.209566302
2012-01-01 17:30,0.211593055
2012-01-01 17:35,0.220510738
2012-01-01 17:40,0.206323466
2012-01-01 17:45,0.208350271
2012-01-01 17:50,0.206728775
2012-01-01 17:55,0.205512744
2012-01-01 18:00,0.204296713
2012-01-01 18:05,0.20267532
2012-01-01 18:10,0.205918156
2012-01-01 18:15,0.209566302
2012-01-01 18:20,0.211998416
2012-01-01 18:25,0.208350271
2012-01-01 18:30,0.204702074
2012-01-01 18:35,0.201459289
2012-01-01 18:40,0.207944858
2012-01-01 18:45,0.389541925
2012-01-01 18:50,0.398054247
2012-01-01 18:55,0.365220938
2012-01-01 19:00,0.267531423
2012-01-01 19:05,0.202675372
2012-01-01 19:10,0.203486042
2012-01-01 19:15,0.205107435
2012-01-01 19:20,0.207539497
2012-01-01 19:25,0.206323466
2012-01-01 19:30,0.203080681
2012-01-01 19:35,0.226590998
2012-01-01 19:40,0.258208327
2012-01-01 19:45,0.251317346
2012-01-01 19:50,0.245642447
2012-01-01 19:55,0.233481928
2012-01-01 20:00,0.226996307
2012-01-01 20:05,0.227807029
2012-01-01 20:10,0.232265897
2012-01-01 20:15,0.240778219
2012-01-01 20:20,0.250912036
2012-01-01 20:25,0.299148752
2012-01-01 20:30,0.333198247
2012-01-01 20:35,0.407782755
2012-01-01 20:40,0.451965913
2012-01-01 20:45,0.552087542
2012-01-01 20:50,0.647750303
2012-01-01 20:55,0.73449533
2012-01-01 21:00,0.795297926
2012-01-01 21:05,0.511957839
2012-01-01 21:10,0.629104164
2012-01-01 21:15,0.661532215
2012-01-01 21:20,0.444264261
2012-01-01 21:25,0.436562609
2012-01-01 21:30,0.438184001
2012-01-01 21:35,0.440616116
2012-01-01 21:40,0.453992718
2012-01-01 21:45,0.458451534
2012-01-01 21:50,0.445074983
2012-01-01 21:55,0.446696324
2012-01-01 22:00,0.453587305
2012-01-01 22:05,0.453587305
2012-01-01 22:10,0.460478338
2012-01-01 22:15,0.459262204
2012-01-01 22:20,0.463721123
2012-01-01 22:25,0.473044218
2012-01-01 22:30,0.469801382
2012-01-01 22:35,0.466963907
2012-01-01 22:40,
2012-01-01 22:45,
2012-01-01 22:50,
2012-01-01 22:55,
2012-01-01 23:00,
2012-01-01 23:05,
2012-01-01 23:10,0.464126484
2012-01-01 23:15,0.471422723
2012-01-01 23:20,0.453181996
2012-01-01 23:25,0.45642478
2012-01-01 23:30,0.45561411
2012-01-01 23:35,0.460478287
2012-01-01 23:40,0.452371325
2012-01-01 23:45,0.45642478
2012-01-01 23:50,0.460478338
2012-01-01 23:55,0.44872318
2012-01-02 0:00,0.449128489
2012-01-02 0:05,0.45561411
2012-01-02 0:10,0.445480292
2012-01-02 0:15,0.445074983
2012-01-02 0:20,0.44304823
2012-01-02 0:25,0.430887659
2012-01-02 0:30,0.41832183
2012-01-02 0:35,0.408593425
2012-01-02 0:40,0.400081052
2012-01-02 0:45,0.336846341
2012-01-02 0:50,0.301986227
2012-01-02 0:55,0.277665189
2012-01-02 1:00,0.274827765
2012-01-02 1:05,0.25293879
2012-01-02 1:10,0.245237138
2012-01-02 1:15,0.243210333
2012-01-02 1:20,0.244021003
2012-01-02 1:25,0.230644504
2012-01-02 1:30,0.224158884
2012-01-02 1:35,0.223348162
2012-01-02 1:40,0.224564245
2012-01-02 1:45,0.222537492
2012-01-02 1:50,0.222942852
2012-01-02 1:55,0.222132131
2012-01-02 2:00,0.222537543
2012-01-02 2:05,0.218483934
2012-01-02 2:10,0.20956625
2012-01-02 2:15,0.212403725
2012-01-02 2:20,0.231049814
2012-01-02 2:25,0.217673315
2012-01-02 2:30,0.211998416
2012-01-02 2:35,0.213619757
2012-01-02 2:40,0.222537492
2012-01-02 2:45,0.212403725
2012-01-02 2:50,0.209971611
2012-01-02 2:55,0.209160941
2012-01-02 3:00,0.206323466
2012-01-02 3:05,0.205512744
2012-01-02 3:10,0.207944858
2012-01-02 3:15,0.207134136
2012-01-02 3:20,0.205512796
2012-01-02 3:25,0.205107435
2012-01-02 3:30,0.202269959
2012-01-02 3:35,0.197811144
2012-01-02 3:40,
2012-01-02 3:45,
2012-01-02 3:50,
2012-01-02 3:55,
2012-01-02 4:00,
2012-01-02 4:05,
2012-01-02 4:10,0.243210333
2012-01-02 4:15,0.256181574
2012-01-02 4:20,0.263477917
2012-01-02 4:25,0.304012929
2012-01-02 4:30,0.330766082
2012-01-02 4:35,0.376570683
2012-01-02 4:40,0.412241571
2012-01-02 4:45,0.40494528
2012-01-02 4:50,0.386704449
2012-01-02 4:55,0.419132552
2012-01-02 5:00,0.463721071
2012-01-02 5:05,0.427239565
2012-01-02 5:10,0.436562609
2012-01-02 5:15,0.448317819
2012-01-02 5:20,0.452371325
2012-01-02 5:25,0.460072926
2012-01-02 5:30,0.464126432
2012-01-02 5:35,0.469801382
2012-01-02 5:40,0.474665559
2012-01-02 5:45,0.473854837
2012-01-02 5:50,0.465747824
2012-01-02 5:55,0.477097622
2012-01-02 6:00,0.473449528
2012-01-02 6:05,0.467774578
2012-01-02 6:10,0.461289009
2012-01-02 6:15,0.457235451
2012-01-02 6:20,0.447507097
2012-01-02 6:25,0.448723128
2012-01-02 6:30,0.460883648
2012-01-02 6:35,0.470612053
2012-01-02 6:40,0.475881642
2012-01-02 6:45,0.480745819
2012-01-02 6:50,0.489258244
2012-01-02 6:55,0.486420769
2012-01-02 7:00,0.488042161
2012-01-02 7:05,0.487231491
2012-01-02 7:10,0.485610047
2012-01-02 7:15,0.483583294
2012-01-02 7:20,0.484799377
2012-01-02 7:25,0.471828136
2012-01-02 7:30,0.476286951
2012-01-02 7:35,0.463315813
2012-01-02 7:40,0.456830141
2012-01-02 7:45,0.454398027
2012-01-02 7:50,0.449128438
2012-01-02 7:55,0.440616116
2012-01-02 8:00,0.437778692
2012-01-02 8:05,0.458046173
2012-01-02 8:10,0.458451534
2012-01-02 8:15,0.459667565
2012-01-02 8:20,0.457640863
2012-01-02 8:25,0.451560604
2012-01-02 8:30,0.436562609
2012-01-02 8:35,0.41872714
2012-01-02 8:40,0.404945228
2012-01-02 8:45,0.32955005
2012-01-02 8:50,0.29833803
2012-01-02 8:55,0.29752736
2012-01-02 9:00,0.295095246
2012-01-02 9:05,0.269152815
2012-01-02 9:10,0.280097252
2012-01-02 9:15,0.256992296
2012-01-02 9:20,0.248074613
2012-01-02 9:25,0.235508681
2012-01-02 9:30,0.231049865
2012-01-02 9:35,0.237130125
2012-01-02 9:40,0.24077827
2012-01-02 9:45,0.229833782
2012-01-02 9:50,0.229833782
2012-01-02 9:55,0.227807029
2012-01-02 10:00,0.226996307
2012-01-02 10:05,0.225780276
2012-01-02 10:10,0.218484037
2012-01-02 10:15,0.219700016
2012-01-02 10:20,0.217267954
2012-01-02 10:25,0.220916048
2012-01-02 10:30,0.22740172
2012-01-02 10:35,0.225374915
2012-01-02 10:40,0.21443053
2012-01-02 10:45,0.214025118
2012-01-02 10:50,0.209566302
2012-01-02 10:55,0.210782333
2012-01-02 11:00,0.20875558
2012-01-02 11:05,0.214835891
2012-01-02 11:10,0.210377024
2012-01-02 11:15,0.209971611
2012-01-02 11:20,0.211593004
2012-01-02 11:25,0.225780328
2012-01-02 11:30,0.20875558
2012-01-02 11:35,0.203891352
2012-01-02 11:40,0.203891403
2012-01-02 11:45,0.204296713
2012-01-02 11:50,0.205107435
2012-01-02 11:55,0.208350219
2012-01-02 12:00,0.2286177
2012-01-02 12:05,0.257397657
2012-01-02 12:10,0.276043745
2012-01-02 12:15,0.2723956
2012-01-02 12:20,0.274016992
