time,value,value_impute,Anomaly
2012-01-01 20:50:00,0.647750303,0.647750303,O
2012-01-01 20:55:00,0.73449533,0.73449533,X
2012-01-01 21:00:00,0.795297926,0.795297926,X
2012-01-01 21:05:00,0.511957839,0.511957839,X
2012-01-01 21:10:00,0.629104164,0.629104164,X
2012-01-01 21:15:00,0.661532215,0.661532215,X
2012-01-01 21:20:00,0.444264261,0.444264261,X
2012-01-01 21:25:00,0.436562609,0.436562609,X
2012-01-01 21:30:00,0.438184001,0.438184001,X
2012-01-01 21:35:00,0.440616116,0.440616116,X
2012-01-01 21:40:00,0.453992718,0.453992718,X
2012-01-01 21:45:00,0.458451534,0.458451534,X
2012-01-01 21:50:00,0.445074983,0.445074983,X
2012-01-01 21:55:00,0.446696324,0.446696324,X
2012-01-01 22:00:00,0.453587305,0.453587305,X
2012-01-01 22:05:00,0.453587305,0.453587305,X
2012-01-01 22:10:00,0.460478338,0.460478338,X
2012-01-01 22:15:00,0.459262204,0.459262204,X
2012-01-01 22:20:00,0.463721123,0.463721123,X
2012-01-01 22:25:00,0.473044218,0.473044218,X
2012-01-01 22:30:00,0.469801382,0.469801382,X
2012-01-01 22:35:00,0.466963907,0.466963907,X
2012-01-01 22:40:00,,0.4665585608571428,X
2012-01-01 22:45:00,,0.4661532147142857,X
2012-01-01 22:50:00,,0.4657478685714286,X
2012-01-01 22:55:00,,0.4653425224285714,X
2012-01-01 23:00:00,,0.4649371762857143,X
2012-01-01 23:05:00,,0.4645318301428571,X
2012-01-01 23:10:00,0.464126484,0.464126484,X
2012-01-01 23:15:00,0.471422723,0.471422723,X
2012-01-01 23:20:00,0.453181996,0.453181996,O
2012-01-01 23:25:00,0.45642478,0.45642478,X
2012-01-01 23:30:00,0.45561411,0.45561411,X
2012-01-01 23:35:00,0.460478287,0.460478287,X
2012-01-01 23:40:00,0.452371325,0.452371325,X
2012-01-01 23:45:00,0.45642478,0.45642478,X
2012-01-01 23:50:00,0.460478338,0.460478338,X
2012-01-01 23:55:00,0.44872318,0.44872318,X
2012-01-02 00:00:00,0.449128489,0.449128489,X
2012-01-02 00:05:00,0.45561411,0.45561411,X
2012-01-02 00:10:00,0.445480292,0.445480292,X
2012-01-02 00:15:00,0.445074983,0.445074983,X
2012-01-02 00:20:00,0.44304823,0.44304823,X
2012-01-02 00:25:00,0.430887659,0.430887659,O
2012-01-02 00:30:00,0.41832183,0.41832183,O
2012-01-02 00:35:00,0.408593425,0.408593425,O
2012-01-02 00:40:00,0.400081052,0.400081052,X
2012-01-02 00:45:00,0.336846341,0.336846341,O
2012-01-02 00:50:00,0.301986227,0.301986227,O
2012-01-02 00:55:00,0.277665189,0.277665189,X
2012-01-02 01:00:00,0.274827765,0.274827765,X
2012-01-02 01:05:00,0.25293879,0.25293879,X
2012-01-02 01:10:00,0.245237138,0.245237138,X
2012-01-02 01:15:00,0.243210333,0.243210333,X
2012-01-02 01:20:00,0.244021003,0.244021003,X
2012-01-02 01:25:00,0.230644504,0.230644504,X
2012-01-02 01:30:00,0.224158884,0.224158884,X
2012-01-02 01:35:00,0.223348162,0.223348162,X
2012-01-02 01:40:00,0.224564245,0.224564245,X
2012-01-02 01:45:00,0.222537492,0.222537492,X
2012-01-02 01:50:00,0.222942852,0.222942852,X
