time,value,value_impute,Anomaly
2012-01-01 9:25,0.198216453,0.198216453,X
2012-01-01 9:30,0.205918105,0.205918105,X
2012-01-01 9:35,0.19537903,0.19537903,X
2012-01-01 9:40,0.196189751,0.196189751,X
2012-01-01 9:45,0.197811092,0.197811092,X
2012-01-01 9:50,0.206728827,0.206728827,X
2012-01-01 9:55,0.203486042,0.203486042,X
2012-01-01 10:00,0.197000422,0.197000422,X
2012-01-01 10:05,0.193352225,0.193352225,X
2012-01-01 10:10,0.193757586,0.193757586,X
2012-01-01 10:15,0.194568308,0.194568308,X
2012-01-01 10:20,0.18929877,0.18929877,X
2012-01-01 10:25,0.191325472,0.191325472,X
2012-01-01 10:30,0.190920162,0.190920162,X
2012-01-01 10:35,0.194568308,0.194568308,X
2012-01-01 10:40,0.203080681,0.203080681,X
2012-01-01 10:45,0.38629914,0.38629914,O
2012-01-01 10:50,0.362788772,0.362788772,X
2012-01-01 10:55,0.257803018,0.257803018,X
2012-01-01 11:00,0.193352276,0.193352276,X
2012-01-01 11:05,0.19537903,0.19537903,X
2012-01-01 11:10,0.192541503,0.192541503,X
2012-01-01 11:15,0.192541503,0.192541503,X
2012-01-01 11:20,0.192541554,0.192541554,X
2012-01-01 11:25,0.192946915,0.192946915,X
2012-01-01 11:30,0.190920162,0.190920162,X
2012-01-01 11:35,0.197405783,0.197405783,X
2012-01-01 11:40,0.229023112,0.229023112,X
2012-01-01 11:45,,0.2282703135714285,X
2012-01-01 11:50,,0.2275175151428571,X
2012-01-01 11:55,,0.2267647167142857,X
2012-01-01 12:00,,0.2260119182857143,X
2012-01-01 12:05,,0.2252591198571428,X
2012-01-01 12:10,,0.2245063214285714,X
2012-01-01 12:15,0.223753523,0.223753523,X
2012-01-01 12:20,0.224969606,0.224969606,X
2012-01-01 12:25,0.229023112,0.229023112,X
2012-01-01 12:30,0.22821239,0.22821239,X
2012-01-01 12:35,0.233076567,0.233076567,X
2012-01-01 12:40,0.233887289,0.233887289,X
2012-01-01 12:45,0.237130125,0.237130125,X
2012-01-01 12:50,0.239967548,0.239967548,X
2012-01-01 12:55,0.242399663,0.242399663,X
2012-01-01 13:00,0.239156827,0.239156827,X
2012-01-01 13:05,0.218889346,0.218889346,X
2012-01-01 13:10,0.222132182,0.222132182,X
2012-01-01 13:15,0.229833782,0.229833782,X
2012-01-01 13:20,0.229023112,0.229023112,X
2012-01-01 13:25,0.231049814,0.231049814,X
2012-01-01 13:30,0.230644504,0.230644504,X
2012-01-01 13:35,0.228212339,0.228212339,X
2012-01-01 13:40,0.227807029,0.227807029,X
2012-01-01 13:45,0.226590998,0.226590998,X
2012-01-01 13:50,0.230644453,0.230644453,X
2012-01-01 13:55,0.229428421,0.229428421,X
2012-01-01 14:00,0.22821239,0.22821239,X
2012-01-01 14:05,0.229428421,0.229428421,X
2012-01-01 14:10,0.232265897,0.232265897,X
2012-01-01 14:15,0.233076567,0.233076567,X
2012-01-01 14:20,0.231455226,0.231455226,X
2012-01-01 14:25,0.232671206,0.232671206,X
2012-01-01 14:30,0.230644504,0.230644504,X
2012-01-01 14:35,0.23429265,0.23429265,X
2012-01-01 14:40,0.235914042,0.235914042,X
2012-01-01 14:45,0.239562187,0.239562187,O
2012-01-01 14:50,0.265909979,0.265909979,O
2012-01-01 14:55,0.428050235,0.428050235,O
2012-01-01 15:00,0.431293072,0.431293072,O
2012-01-01 15:05,0.257802966,0.257802966,X
2012-01-01 15:10,0.232265948,0.232265948,X
2012-01-01 15:15,0.229428421,0.229428421,X
2012-01-01 15:20,0.230239143,0.230239143,X
2012-01-01 15:25,0.236724764,0.236724764,X
2012-01-01 15:30,0.245642447,0.245642447,X
2012-01-01 15:35,0.229833834,0.229833834,X
2012-01-01 15:40,0.2286177,0.2286177,X
2012-01-01 15:45,0.2286177,0.2286177,X
2012-01-01 15:50,0.22740172,0.22740172,X
2012-01-01 15:55,0.22902306,0.22902306,X
2012-01-01 16:00,0.231860536,0.231860536,X
2012-01-01 16:05,0.24118358,0.24118358,X
2012-01-01 16:10,0.241994302,0.241994302,X
2012-01-01 16:15,0.241588941,0.241588941,X
2012-01-01 16:20,0.243210385,0.243210385,X
2012-01-01 16:25,0.246453169,0.246453169,X
2012-01-01 16:30,0.243210333,0.243210333,X
2012-01-01 16:35,0.243615745,0.243615745,X
2012-01-01 16:40,0.243210385,0.243210385,X
2012-01-01 16:45,0.237130125,0.237130125,X
2012-01-01 16:50,0.233076567,0.233076567,X
2012-01-01 16:55,0.230239143,0.230239143,X
2012-01-01 17:00,0.22821239,0.22821239,X
2012-01-01 17:05,0.222537543,0.222537543,X
2012-01-01 17:10,0.219700068,0.219700068,X
2012-01-01 17:15,0.213619808,0.213619808,X
2012-01-01 17:20,0.213214447,0.213214447,X
2012-01-01 17:25,0.209566302,0.209566302,X
2012-01-01 17:30,0.211593055,0.211593055,X
2012-01-01 17:35,0.220510738,0.220510738,X
