time,value,value_impute
2012-01-01 09:25:00,0.198216453,0.198216453
2012-01-01 09:30:00,0.205918105,0.205918105
2012-01-01 09:35:00,0.19537903,0.19537903
2012-01-01 09:40:00,0.196189751,0.196189751
2012-01-01 09:45:00,0.197811092,0.197811092
2012-01-01 09:50:00,0.206728827,0.206728827
2012-01-01 09:55:00,0.203486042,0.203486042
2012-01-01 10:00:00,0.197000422,0.197000422
2012-01-01 10:05:00,0.193352225,0.193352225
2012-01-01 10:10:00,0.193757586,0.193757586
2012-01-01 10:15:00,0.194568308,0.194568308
2012-01-01 10:20:00,0.18929877,0.18929877
2012-01-01 10:25:00,0.191325472,0.191325472
2012-01-01 10:30:00,0.190920162,0.190920162
2012-01-01 10:35:00,0.194568308,0.194568308
2012-01-01 10:40:00,0.203080681,0.203080681
2012-01-01 10:45:00,0.38629914,0.38629914
2012-01-01 10:50:00,0.362788772,0.362788772
2012-01-01 10:55:00,0.257803018,0.257803018
2012-01-01 11:00:00,0.193352276,0.193352276
2012-01-01 11:05:00,0.19537903,0.19537903
2012-01-01 11:10:00,0.192541503,0.192541503
2012-01-01 11:15:00,0.192541503,0.192541503
2012-01-01 11:20:00,0.192541554,0.192541554
2012-01-01 11:25:00,0.192946915,0.192946915
2012-01-01 11:30:00,0.190920162,0.190920162
2012-01-01 11:35:00,0.197405783,0.197405783
2012-01-01 11:40:00,0.229023112,0.229023112
2012-01-01 11:45:00,,0.204296713
2012-01-01 11:50:00,,0.205107435
2012-01-01 11:55:00,,0.208350219
2012-01-01 12:00:00,,0.2286177
2012-01-01 12:05:00,,0.257397657
2012-01-01 12:10:00,,0.276043745
2012-01-01 12:15:00,0.223753523,0.223753523
2012-01-01 12:20:00,0.224969606,0.224969606
2012-01-01 12:25:00,0.229023112,0.229023112
2012-01-01 12:30:00,0.22821239,0.22821239
2012-01-01 12:35:00,0.233076567,0.233076567
2012-01-01 12:40:00,0.233887289,0.233887289
2012-01-01 12:45:00,0.237130125,0.237130125
2012-01-01 12:50:00,0.239967548,0.239967548
2012-01-01 12:55:00,0.242399663,0.242399663
2012-01-01 13:00:00,0.239156827,0.239156827
2012-01-01 13:05:00,0.218889346,0.218889346
2012-01-01 13:10:00,0.222132182,0.222132182
2012-01-01 13:15:00,0.229833782,0.229833782
2012-01-01 13:20:00,0.229023112,0.229023112
2012-01-01 13:25:00,0.231049814,0.231049814
2012-01-01 13:30:00,0.230644504,0.230644504
2012-01-01 13:35:00,0.228212339,0.228212339
2012-01-01 13:40:00,0.227807029,0.227807029
2012-01-01 13:45:00,0.226590998,0.226590998
2012-01-01 13:50:00,0.230644453,0.230644453
2012-01-01 13:55:00,0.229428421,0.229428421
2012-01-01 14:00:00,0.22821239,0.22821239
2012-01-01 14:05:00,0.229428421,0.229428421
2012-01-01 14:10:00,0.232265897,0.232265897
2012-01-01 14:15:00,0.233076567,0.233076567
2012-01-01 14:20:00,0.231455226,0.231455226
2012-01-01 14:25:00,0.232671206,0.232671206
2012-01-01 14:30:00,0.230644504,0.230644504
2012-01-01 14:35:00,0.23429265,0.23429265
2012-01-01 14:40:00,0.235914042,0.235914042
2012-01-01 14:45:00,0.239562187,0.239562187
2012-01-01 14:50:00,0.265909979,0.265909979
2012-01-01 14:55:00,0.428050235,0.428050235
2012-01-01 15:00:00,0.431293072,0.431293072
2012-01-01 15:05:00,0.257802966,0.257802966
2012-01-01 15:10:00,0.232265948,0.232265948
2012-01-01 15:15:00,0.229428421,0.229428421
2012-01-01 15:20:00,0.230239143,0.230239143
2012-01-01 15:25:00,0.236724764,0.236724764
2012-01-01 15:30:00,0.245642447,0.245642447
2012-01-01 15:35:00,0.229833834,0.229833834
2012-01-01 15:40:00,0.2286177,0.2286177
2012-01-01 15:45:00,0.2286177,0.2286177
2012-01-01 15:50:00,0.22740172,0.22740172
2012-01-01 15:55:00,0.22902306,0.22902306
2012-01-01 16:00:00,0.231860536,0.231860536
2012-01-01 16:05:00,0.24118358,0.24118358
2012-01-01 16:10:00,0.241994302,0.241994302
2012-01-01 16:15:00,0.241588941,0.241588941
2012-01-01 16:20:00,0.243210385,0.243210385
2012-01-01 16:25:00,0.246453169,0.246453169
2012-01-01 16:30:00,0.243210333,0.243210333
2012-01-01 16:35:00,0.243615745,0.243615745
2012-01-01 16:40:00,0.243210385,0.243210385
2012-01-01 16:45:00,0.237130125,0.237130125
2012-01-01 16:50:00,0.233076567,0.233076567
2012-01-01 16:55:00,0.230239143,0.230239143
2012-01-01 17:00:00,0.22821239,0.22821239
2012-01-01 17:05:00,0.222537543,0.222537543
2012-01-01 17:10:00,0.219700068,0.219700068
2012-01-01 17:15:00,0.213619808,0.213619808
2012-01-01 17:20:00,0.213214447,0.213214447
2012-01-01 17:25:00,0.209566302,0.209566302
2012-01-01 17:30:00,0.211593055,0.211593055
2012-01-01 17:35:00,0.220510738,0.220510738
2012-01-01 17:40:00,0.206323466,0.206323466
2012-01-01 17:45:00,0.208350271,0.208350271
2012-01-01 17:50:00,0.206728775,0.206728775
2012-01-01 17:55:00,0.205512744,0.205512744
2012-01-01 18:00:00,0.204296713,0.204296713
2012-01-01 18:05:00,0.20267532,0.20267532
2012-01-01 18:10:00,0.205918156,0.205918156
2012-01-01 18:15:00,0.209566302,0.209566302
2012-01-01 18:20:00,0.211998416,0.211998416
2012-01-01 18:25:00,0.208350271,0.208350271
2012-01-01 18:30:00,0.204702074,0.204702074
2012-01-01 18:35:00,0.201459289,0.201459289
2012-01-01 18:40:00,0.207944858,0.207944858
2012-01-01 18:45:00,0.389541925,0.389541925
2012-01-01 18:50:00,0.398054247,0.398054247
2012-01-01 18:55:00,0.365220938,0.365220938
2012-01-01 19:00:00,0.267531423,0.267531423
2012-01-01 19:05:00,0.202675372,0.202675372
2012-01-01 19:10:00,0.203486042,0.203486042
2012-01-01 19:15:00,0.205107435,0.205107435
2012-01-01 19:20:00,0.207539497,0.207539497
2012-01-01 19:25:00,0.206323466,0.206323466
2012-01-01 19:30:00,0.203080681,0.203080681
2012-01-01 19:35:00,0.226590998,0.226590998
2012-01-01 19:40:00,0.258208327,0.258208327
2012-01-01 19:45:00,0.251317346,0.251317346
2012-01-01 19:50:00,0.245642447,0.245642447
2012-01-01 19:55:00,0.233481928,0.233481928
2012-01-01 20:00:00,0.226996307,0.226996307
2012-01-01 20:05:00,0.227807029,0.227807029
2012-01-01 20:10:00,0.232265897,0.232265897
2012-01-01 20:15:00,0.240778219,0.240778219
2012-01-01 20:20:00,0.250912036,0.250912036
2012-01-01 20:25:00,0.299148752,0.299148752
2012-01-01 20:30:00,0.333198247,0.333198247
2012-01-01 20:35:00,0.407782755,0.407782755
2012-01-01 20:40:00,0.451965913,0.451965913
2012-01-01 20:45:00,0.552087542,0.552087542
2012-01-01 20:50:00,0.647750303,0.647750303
2012-01-01 20:55:00,0.73449533,0.73449533
2012-01-01 21:00:00,0.795297926,0.795297926
2012-01-01 21:05:00,0.511957839,0.511957839
2012-01-01 21:10:00,0.629104164,0.629104164
2012-01-01 21:15:00,0.661532215,0.661532215
2012-01-01 21:20:00,0.444264261,0.444264261
2012-01-01 21:25:00,0.436562609,0.436562609
2012-01-01 21:30:00,0.438184001,0.438184001
2012-01-01 21:35:00,0.440616116,0.440616116
2012-01-01 21:40:00,0.453992718,0.453992718
2012-01-01 21:45:00,0.458451534,0.458451534
2012-01-01 21:50:00,0.445074983,0.445074983
2012-01-01 21:55:00,0.446696324,0.446696324
2012-01-01 22:00:00,0.453587305,0.453587305
2012-01-01 22:05:00,0.453587305,0.453587305
2012-01-01 22:10:00,0.460478338,0.460478338
2012-01-01 22:15:00,0.459262204,0.459262204
2012-01-01 22:20:00,0.463721123,0.463721123
2012-01-01 22:25:00,0.473044218,0.473044218
2012-01-01 22:30:00,0.469801382,0.469801382
2012-01-01 22:35:00,0.466963907,0.466963907
2012-01-01 22:40:00,,0.46169437
2012-01-01 22:45:00,,0.477097725
2012-01-01 22:50:00,,0.476692312
2012-01-01 22:55:00,,0.47507092
2012-01-01 23:00:00,,0.459667565
2012-01-01 23:05:00,,0.482367211
2012-01-01 23:10:00,0.464126484,0.464126484
2012-01-01 23:15:00,0.471422723,0.471422723
2012-01-01 23:20:00,0.453181996,0.453181996
2012-01-01 23:25:00,0.45642478,0.45642478
2012-01-01 23:30:00,0.45561411,0.45561411
2012-01-01 23:35:00,0.460478287,0.460478287
2012-01-01 23:40:00,0.452371325,0.452371325
2012-01-01 23:45:00,0.45642478,0.45642478
2012-01-01 23:50:00,0.460478338,0.460478338
2012-01-01 23:55:00,0.44872318,0.44872318
2012-01-02 00:00:00,0.449128489,0.449128489
2012-01-02 00:05:00,0.45561411,0.45561411
2012-01-02 00:10:00,0.445480292,0.445480292
2012-01-02 00:15:00,0.445074983,0.445074983
2012-01-02 00:20:00,0.44304823,0.44304823
2012-01-02 00:25:00,0.430887659,0.430887659
2012-01-02 00:30:00,0.41832183,0.41832183
2012-01-02 00:35:00,0.408593425,0.408593425
2012-01-02 00:40:00,0.400081052,0.400081052
2012-01-02 00:45:00,0.336846341,0.336846341
2012-01-02 00:50:00,0.301986227,0.301986227
2012-01-02 00:55:00,0.277665189,0.277665189
2012-01-02 01:00:00,0.274827765,0.274827765
2012-01-02 01:05:00,0.25293879,0.25293879
2012-01-02 01:10:00,0.245237138,0.245237138
2012-01-02 01:15:00,0.243210333,0.243210333
2012-01-02 01:20:00,0.244021003,0.244021003
2012-01-02 01:25:00,0.230644504,0.230644504
2012-01-02 01:30:00,0.224158884,0.224158884
2012-01-02 01:35:00,0.223348162,0.223348162
2012-01-02 01:40:00,0.224564245,0.224564245
2012-01-02 01:45:00,0.222537492,0.222537492
2012-01-02 01:50:00,0.222942852,0.222942852
2012-01-02 01:55:00,0.222132131,0.222132131
2012-01-02 02:00:00,0.222537543,0.222537543
2012-01-02 02:05:00,0.218483934,0.218483934
2012-01-02 02:10:00,0.20956625,0.20956625
2012-01-02 02:15:00,0.212403725,0.212403725
2012-01-02 02:20:00,0.231049814,0.231049814
2012-01-02 02:25:00,0.217673315,0.217673315
2012-01-02 02:30:00,0.211998416,0.211998416
2012-01-02 02:35:00,0.213619757,0.213619757
2012-01-02 02:40:00,0.222537492,0.222537492
2012-01-02 02:45:00,0.212403725,0.212403725
2012-01-02 02:50:00,0.209971611,0.209971611
2012-01-02 02:55:00,0.209160941,0.209160941
2012-01-02 03:00:00,0.206323466,0.206323466
2012-01-02 03:05:00,0.205512744,0.205512744
2012-01-02 03:10:00,0.207944858,0.207944858
2012-01-02 03:15:00,0.207134136,0.207134136
2012-01-02 03:20:00,0.205512796,0.205512796
2012-01-02 03:25:00,0.205107435,0.205107435
2012-01-02 03:30:00,0.202269959,0.202269959
2012-01-02 03:35:00,0.197811144,0.197811144
2012-01-02 03:40:00,,0.23956221300000002
2012-01-02 03:45:00,,0.229833808
2012-01-02 03:50:00,,0.23773808899999999
2012-01-02 03:55:00,,0.2434130135
2012-01-02 04:00:00,,0.24523711199999998
2012-01-02 04:05:00,,0.23753546
2012-01-02 04:10:00,0.243210333,0.243210333
2012-01-02 04:15:00,0.256181574,0.256181574
2012-01-02 04:20:00,0.263477917,0.263477917
2012-01-02 04:25:00,0.304012929,0.304012929
